Compilation Hierarchy Node,Combinational ALUTs,Dedicated Logic Registers,Memory Bits,DSP Elements,DSP 9x9,DSP 18x18,Pins,Virtual Pins,Full Hierarchy Name,Entity Name,Library Name
                        |lpm_add_sub:adder[1]|,10 (0),0 (0),0,0,0,0,0,0,|try|Datapath:dp|ALUnitHW:alu|lpm_mult:Mult0|multcore:mult_core|mpar_add:padder|mpar_add:sub_par_add|mpar_add:sub_par_add|lpm_add_sub:adder[1],lpm_add_sub,work
                           |addcore:adder|,10 (0),0 (0),0,0,0,0,0,0,|try|Datapath:dp|ALUnitHW:alu|lpm_mult:Mult0|multcore:mult_core|mpar_add:padder|mpar_add:sub_par_add|mpar_add:sub_par_add|lpm_add_sub:adder[1]|addcore:adder,addcore,work
                              |a_csnbuffer:result_node|,10 (10),0 (0),0,0,0,0,0,0,|try|Datapath:dp|ALUnitHW:alu|lpm_mult:Mult0|multcore:mult_core|mpar_add:padder|mpar_add:sub_par_add|mpar_add:sub_par_add|lpm_add_sub:adder[1]|addcore:adder|a_csnbuffer:result_node,a_csnbuffer,work
                        |mpar_add:sub_par_add|,20 (0),0 (0),0,0,0,0,0,0,|try|Datapath:dp|ALUnitHW:alu|lpm_mult:Mult0|multcore:mult_core|mpar_add:padder|mpar_add:sub_par_add|mpar_add:sub_par_add|mpar_add:sub_par_add,mpar_add,work
                           |lpm_add_sub:adder[0]|,18 (0),0 (0),0,0,0,0,0,0,|try|Datapath:dp|ALUnitHW:alu|lpm_mult:Mult0|multcore:mult_core|mpar_add:padder|mpar_add:sub_par_add|mpar_add:sub_par_add|mpar_add:sub_par_add|lpm_add_sub:adder[0],lpm_add_sub,work
                              |addcore:adder|,18 (0),0 (0),0,0,0,0,0,0,|try|Datapath:dp|ALUnitHW:alu|lpm_mult:Mult0|multcore:mult_core|mpar_add:padder|mpar_add:sub_par_add|mpar_add:sub_par_add|mpar_add:sub_par_add|lpm_add_sub:adder[0]|addcore:adder,addcore,work
                                 |addcore:first_seg_adder|,18 (0),0 (0),0,0,0,0,0,0,|try|Datapath:dp|ALUnitHW:alu|lpm_mult:Mult0|multcore:mult_core|mpar_add:padder|mpar_add:sub_par_add|mpar_add:sub_par_add|mpar_add:sub_par_add|lpm_add_sub:adder[0]|addcore:adder|addcore:first_seg_adder,addcore,work
                                    |a_csnbuffer:result_node|,18 (18),0 (0),0,0,0,0,0,0,|try|Datapath:dp|ALUnitHW:alu|lpm_mult:Mult0|multcore:mult_core|mpar_add:padder|mpar_add:sub_par_add|mpar_add:sub_par_add|mpar_add:sub_par_add|lpm_add_sub:adder[0]|addcore:adder|addcore:first_seg_adder|a_csnbuffer:result_node,a_csnbuffer,work
                           |mpar_add:sub_par_add|,2 (0),0 (0),0,0,0,0,0,0,|try|Datapath:dp|ALUnitHW:alu|lpm_mult:Mult0|multcore:mult_core|mpar_add:padder|mpar_add:sub_par_add|mpar_add:sub_par_add|mpar_add:sub_par_add|mpar_add:sub_par_add,mpar_add,work
                              |lpm_add_sub:adder[0]|,2 (0),0 (0),0,0,0,0,0,0,|try|Datapath:dp|ALUnitHW:alu|lpm_mult:Mult0|multcore:mult_core|mpar_add:padder|mpar_add:sub_par_add|mpar_add:sub_par_add|mpar_add:sub_par_add|mpar_add:sub_par_add|lpm_add_sub:adder[0],lpm_add_sub,work
                                 |addcore:adder|,2 (0),0 (0),0,0,0,0,0,0,|try|Datapath:dp|ALUnitHW:alu|lpm_mult:Mult0|multcore:mult_core|mpar_add:padder|mpar_add:sub_par_add|mpar_add:sub_par_add|mpar_add:sub_par_add|mpar_add:sub_par_add|lpm_add_sub:adder[0]|addcore:adder,addcore,work
                                    |addcore:first_seg_adder|,2 (0),0 (0),0,0,0,0,0,0,|try|Datapath:dp|ALUnitHW:alu|lpm_mult:Mult0|multcore:mult_core|mpar_add:padder|mpar_add:sub_par_add|mpar_add:sub_par_add|mpar_add:sub_par_add|mpar_add:sub_par_add|lpm_add_sub:adder[0]|addcore:adder|addcore:first_seg_adder,addcore,work
                                       |a_csnbuffer:result_node|,2 (2),0 (0),0,0,0,0,0,0,|try|Datapath:dp|ALUnitHW:alu|lpm_mult:Mult0|multcore:mult_core|mpar_add:padder|mpar_add:sub_par_add|mpar_add:sub_par_add|mpar_add:sub_par_add|mpar_add:sub_par_add|lpm_add_sub:adder[0]|addcore:adder|addcore:first_seg_adder|a_csnbuffer:result_node,a_csnbuffer,work
               |mul_boothc:booth_enc|,60 (60),0 (0),0,0,0,0,0,0,|try|Datapath:dp|ALUnitHW:alu|lpm_mult:Mult0|multcore:mult_core|mul_boothc:booth_enc,mul_boothc,work
      |BranchSel:bs|,11 (11),0 (0),0,0,0,0,0,0,|try|Datapath:dp|BranchSel:bs,BranchSel,work
      |Datamemory:Dm|,11450 (11450),16384 (16384),0,0,0,0,0,0,|try|Datapath:dp|Datamemory:Dm,Datamemory,work
      |Decoder3by3:dc|,1 (1),0 (0),0,0,0,0,0,0,|try|Datapath:dp|Decoder3by3:dc,Decoder3by3,work
      |InstructionMemory:Imem|,42 (42),0 (0),0,0,0,0,0,0,|try|Datapath:dp|InstructionMemory:Imem,InstructionMemory,work
      |Microprogramming:CU|,26 (26),0 (0),0,0,0,0,0,0,|try|Datapath:dp|Microprogramming:CU,Microprogramming,work
      |Mux2input:muxImmSel|,33 (33),0 (0),0,0,0,0,0,0,|try|Datapath:dp|Mux2input:muxImmSel,Mux2input,work
      |Mux2input:muxJALR|,31 (31),0 (0),0,0,0,0,0,0,|try|Datapath:dp|Mux2input:muxJALR,Mux2input,work
      |Mux2input:muxrdsel|,74 (74),0 (0),0,0,0,0,0,0,|try|Datapath:dp|Mux2input:muxrdsel,Mux2input,work
      |RegFiles:regF|,316 (316),352 (352),0,0,0,0,0,0,|try|Datapath:dp|RegFiles:regF,RegFiles,work
      |adder_32:adder1|,30 (30),0 (0),0,0,0,0,0,0,|try|Datapath:dp|adder_32:adder1,adder_32,work
      |adder_32:adder3|,64 (64),0 (0),0,0,0,0,0,0,|try|Datapath:dp|adder_32:adder3,adder_32,work
      |imm_Gen:immGen|,10 (10),0 (0),0,0,0,0,0,0,|try|Datapath:dp|imm_Gen:immGen,imm_Gen,work
      |pc:pcreg|,0 (0),32 (32),0,0,0,0,0,0,|try|Datapath:dp|pc:pcreg,pc,work
   |hexdigit:H2|,7 (7),0 (0),0,0,0,0,0,0,|try|hexdigit:H2,hexdigit,work
   |hexdigit:H3|,7 (7),0 (0),0,0,0,0,0,0,|try|hexdigit:H3,hexdigit,work
